trip_id,arrival_time,stop_id,sequence_id,departure_time
SK_14,2023-03-21 09:49:00,S_13,12,2023-03-21 09:49:00
SK_14,2023-03-21 09:53:00,S_14,13,2023-03-21 09:53:00
SK_14,2023-03-21 10:03:00,S_15,14,2023-03-21 10:03:00
SK_15,2023-03-21 08:50:00,S_1,0,2023-03-21 08:50:00
SK_15,2023-03-21 08:53:00,S_2,1,2023-03-21 08:53:00
SK_15,2023-03-21 08:56:00,S_3,2,2023-03-21 08:56:00
SK_15,2023-03-21 09:02:00,S_4,3,2023-03-21 09:02:00
SK_15,2023-03-21 09:07:00,S_5,4,2023-03-21 09:07:00
SK_15,2023-03-21 09:11:00,S_6,5,2023-03-21 09:11:00
SK_15,2023-03-21 09:17:00,S_7,6,2023-03-21 09:17:00
SK_15,2023-03-21 09:21:00,S_8,7,2023-03-21 09:21:00
SK_15,2023-03-21 09:28:00,S_9,8,2023-03-21 09:28:00
SK_15,2023-03-21 09:34:00,S_10,9,2023-03-21 09:34:00
SK_15,2023-03-21 09:43:00,S_11,10,2023-03-21 09:43:00
SK_15,2023-03-21 09:51:00,S_12,11,2023-03-21 09:51:00
SK_15,2023-03-21 09:59:00,S_13,12,2023-03-21 09:59:00
SK_15,2023-03-21 10:03:00,S_14,13,2023-03-21 10:03:00
SK_15,2023-03-21 10:13:00,S_15,14,2023-03-21 10:13:00
SK_16,2023-03-21 09:00:00,S_1,0,2023-03-21 09:00:00
SK_16,2023-03-21 09:03:00,S_2,1,2023-03-21 09:03:00
SK_16,2023-03-21 09:06:00,S_3,2,2023-03-21 09:06:00
SK_16,2023-03-21 09:12:00,S_4,3,2023-03-21 09:12:00
SK_16,2023-03-21 09:17:00,S_5,4,2023-03-21 09:17:00
SK_16,2023-03-21 09:21:00,S_6,5,2023-03-21 09:21:00
SK_16,2023-03-21 09:27:00,S_7,6,2023-03-21 09:27:00
SK_16,2023-03-21 09:31:00,S_8,7,2023-03-21 09:31:00
SK_16,2023-03-21 09:38:00,S_9,8,2023-03-21 09:38:00
SK_16,2023-03-21 09:44:00,S_10,9,2023-03-21 09:44:00
SK_16,2023-03-21 09:53:00,S_11,10,2023-03-21 09:53:00
SK_16,2023-03-21 10:01:00,S_12,11,2023-03-21 10:01:00
